step_id,action,component,head_id,x_coord,y_coord
1,PICK,E,1,5,0
2,PICK,B,2,2,0
3,PICK,D,3,4,0
4,PLACE,E,1,12,1
5,PLACE,B,2,5,2
6,PLACE,D,3,3,1
7,PICK,E,1,5,0
8,PICK,B,2,2,0
9,PICK,D,3,4,0
10,PLACE,D,3,5,1
11,PLACE,B,2,3,3
12,PLACE,E,1,1,2
13,PICK,E,1,5,0
14,PICK,C,2,3,0
15,PICK,D,3,4,0
16,PLACE,D,3,7,1
17,PLACE,C,2,2,4
18,PLACE,E,1,1,3
19,PICK,A,1,1,0
20,PICK,I,2,9,0
21,PICK,D,3,4,0
22,PLACE,D,3,9,1
23,PLACE,I,2,4,5
24,PLACE,A,1,4,3
25,PICK,E,1,5,0
26,PICK,B,2,2,0
27,PICK,D,3,4,0
28,PLACE,D,3,11,1
29,PLACE,E,1,12,3
30,PLACE,B,2,7,5
31,PICK,A,1,1,0
32,PICK,C,2,3,0
33,PICK,D,3,4,0
34,PLACE,D,3,3,4
35,PLACE,C,2,3,6
36,PLACE,A,1,2,5
37,PICK,A,1,1,0
38,PICK,B,2,2,0
39,PICK,D,3,4,0
40,PLACE,D,3,8,4
41,PLACE,A,1,6,5
42,PLACE,B,2,2,7
43,PICK,E,1,5,0
44,PICK,B,2,2,0
45,PICK,D,3,4,0
46,PLACE,E,1,12,5
47,PLACE,B,2,7,7
48,PLACE,D,3,4,7
49,PICK,E,1,5,0
50,PICK,C,2,3,0
51,PICK,D,3,4,0
52,PLACE,D,3,10,9
53,PLACE,C,2,2,9
54,PLACE,E,1,1,6
55,PICK,E,1,5,0
56,PICK,B,2,2,0
57,PICK,D,3,4,0
58,PLACE,B,2,5,10
59,PLACE,D,3,3,12
60,PLACE,E,1,1,7
61,PICK,E,1,5,0
62,PICK,C,2,3,0
63,PICK,D,3,4,0
64,PLACE,D,3,7,12
65,PLACE,C,2,4,11
66,PLACE,E,1,1,8
67,PICK,A,1,1,0
68,PLACE,A,1,8,8
69,PICK,A,1,1,0
70,PLACE,A,1,4,9
71,PICK,E,1,5,0
72,PLACE,E,1,12,9
73,PICK,E,1,5,0
74,PLACE,E,1,1,11
75,PICK,E,1,5,0
76,PLACE,E,1,12,11
77,PICK,E,1,5,0
78,PLACE,E,1,1,12
